MAGAZZINO 2017,,,,,,,
PRODOTTO,Data Ultimo arrivo,tot. Ordi ni,FORNITORE,UNITA MISURA,GIACENZA,COSTO  unit.,VALORE
Adesivo  rotoli 7 cm. Nero ,07/06/17,24,rota,rotoli,21,"€16,50 ","€ 346,50"
Adesivo  rotoli 7 cm. Bianco,07/06/17,24,rota,rotoli,21,"€16,50 ","€ 346,50"
Adesivo Strech rotolo nero (1),,,,mt,33,"€1,65 ","€ 54,45"
Adesivo Strech rotolo bianco (2),,,,mt,37,"€1,65 ","€ 61,05"
Adesivo leggero nero stecca(3),,,zamboni,mt,22,"€2,35 ","€ 51,70"
Adesivo Leggero nero in stecca seta (6),09/11/2017,100,Rota,mt,70,"€3,00 ","€ 210,00"
Adesivo Pesante nero,09/11/2017,50,Rota,mt,27,"€2,50 ","€ 67,50"
Adesivo Pesante Bianco,09/01/2017,50,Rota,mt,35,"€2,50 ","€ 87,50"
Adesivo bianco seta (4),16/05/17,100,Rota,mt,30,"€2,35 ","€ 70,50"
Appendini Legno,09/07/05,72,IKEA,n,72,"€0,50 ","€ 36,00"
Appendino  ferro porta gonne,10/07/05,10,ikea,n,10,"€1,20 ","€ 12,00"
Appendini Plastica,03/04/17,50,Donagemma,n.,5,"€0,50 ","€ 2,50"
Trilobato(gommina) 75 gr 100% ,,,Eurospal,mt,30,"€8,30 ","€ 249,00"
Bindello cotone bianco,09/11/17,,Rota,rotoli,11,,"€ 0,00"
Borse Nere  con logo,,,Cina,n.,1000,"€1,83 ","€ 1.828,00"
Bindello cotone nero,09/11/17,,Rota,rotoli,7,,
Buste Plastica forate soffietto,15/3/2017,25,,numero,"5,00","€1,96 ","€ 9,80"
Buste Plastica forate f.to 22x30,18/9/2017,2400,,numero,"400,00","€0,09 ","€ 36,00"
Buste Plastica forate f.to 23x33x 25 pz,11/4/2017,2,,numero,"0,00","€6,00 ","€ 0,00"
Buste porta cd TRASPARENTI,,,,numero,"100,00","€0,00 ","€ 0,00"
Calicot   panna (cencio della nonna),,,,mt,25,"€ 1,14","€ 28,50"
Carta 160gr risma da 250 fg,20/10/2017,10,,n. risme,"4,00","€8,50 ","€ 34,00"
Carta 70x 100 fedrigoni,24/10/2017,130,,n. risme,"10,00","€25,13 ","€ 251,30"
Carta A3 100 gr  MONDI’,20/9/2017,18,lyreco,n. risme,"10,00","€17,00 ","€ 170,00"
Carta fotocopie 100 gr A4,20/10/2017,10,,n. risme,"5,00","€7,90 ","€ 39,50"
Carta fotocopie fg  A4 80 GR,20/10/2017,310,lyreco,n. risme,"20,00","€2,76 ","€ 55,20"
