MAGAZZINO 2020,,,,,
PRODOTTO,FORNITORE,UNITA MISURA,GIACENZA,COSTO  unit.,VALORE
"Adesivo cinture  h= 3,5",,rotolo,18,"€0,00 ","€ 0,00"
"Adesivo cinture h= 5,5",,rotolo,15,"€0,00 ","€ 0,00"
Adesivo  rotoli 7 cm. Nero ,Rota,rotoli,8,"€16,50 ","€ 132,00"
Adesivo  rotoli 7 cm. Bianco,Rota,rotoli,15,"€16,50 ","€ 247,50"
Adesivo Strech rotolo nero,Rota,mt,12,"€1,65 ","€ 19,80"
Adesivo Strech rotolo bianco ,Rota,mt,80,"€2,00 ","€ 160,00"
Adesivo Leggero nero ,Rota,mt,15,"€3,00 ","€ 45,00"
Adesivo Pesante nero,Rota,mt,25,"€3,00 ","€ 75,00"
Adesivo Pesante Bianco,Rota,mt,40,"€3,00 ","€ 120,00"
Adesivo Bianco  Leggero,Rota,mt,50,"€2,35 ","€ 117,50"
Appendini Legno,IKEA,n,59,"€1,00 ","€ 59,00"
Appendini plastica,Donagemma,n,35,"€0,50 ","€ 17,50"
Appendino  ferro porta gonne,ATI,n,3,"€1,20 ","€ 3,60"
Aghi a mano 3-9,ATI,n,5,"€0,60 ","€ 3,00"
Aghi a mano 6,ATI,n,8,"€0,60 ","€ 4,80"
Aghi a mano 7,ATI,n,4,"€0,60 ","€ 2,40"
Aghi a mano 10,ATI,n,5,"€0,60 ","€ 3,00"
Aghi a mano 9,ATI,n,2,"€0,60 ","€ 1,20"
Trilobato(gommina) 75 gr 100% ,Eurospal,mt,30,"€8,30 ","€ 249,00"
Bindello cotone bianco,Rota,rotoli,6,"€2,00 ","€ 12,00"
Borse Nere  con logo,Cina,n.,225,"€1,83 ","€ 411,30"
Bindello cotone nero,Rota,rotoli,4,"€2,00 ","€ 8,00"
Brochure ist italiano,Negrisolo,n,400,"€0,80 ","€ 320,00"
Brochure ist inglese,Negrisolo,n,400,"€0,80 ","€ 320,00"
Buste Bianche con Finestra,Negrisolo,n,1000,,"€ 0,00"
Buste Bianche A5,Negrisolo,n,750,,"€ 0,00"
Buste bianche 33x23,Negrisolo,n,500,,"€ 0,00"
Buste Imbottite 29x42,Negrisolo,n,60,"€0,50 ","€ 30,00"
Buste Plastica forate soffietto,Lyreco,numero,"0,00","€3,00 ","€ 0,00"
Buste Plastica forate f.to 22x30,Lyreco,lyreco,"50,00","€0,98 ","€ 49,00"
Buste Plastica forate f.to 23x33,Lyreco,lyreco,"50,00","€0,98 ","€ 49,00"
Buste Plastica forate f.toA3 buste  da 10,Lyreco,numero,"4,00","€6,00 ","€ 24,00"
Buste Plastica forate a soffietto,Lyreco,numero,"20,00",,"€ 0,00"
Blocco lavagna,Lyreco,numero,"2,00","€3,50 ","€ 7,00"
Canetè  25 mm,Rota,mt,"50,00","€2,00 ","€ 100,00"
Canetè  15 mm,Rota,mt,"100,00","€2,00 ","€ 200,00"
Calicot   panna (cencio della nonna),,mt,25,"€ 1,14","€ 28,50"
